Distance [mm];Mag_B (Real) [tesla];Mag_B (Imag) [tesla]
0.0;0.0003397254269396844;0.0
0.017;0.0003376588222249778;0.0
0.034;0.00033560589929675224;0.0
0.051000000000000004;0.00033356665734233756;0.0
0.068;0.00033154109561859846;0.0
0.085;0.0003295292134519301;0.0
0.10200000000000001;0.0003275310102382614;0.0
0.11900000000000001;0.0003255464854430541;0.0
0.136;0.00032357563860130193;0.0
0.15300000000000002;0.00032161846931753185;0.0
0.17;0.00031967497726580353;0.0
0.187;0.0003177451621897083;0.0
0.20400000000000001;0.00031582902390237113;0.0
0.22100000000000003;0.00031392656228644995;0.0
0.23800000000000002;0.00031203777729413404;0.0
0.255;0.00031016266894714676;0.0
0.272;0.0003083012373367434;0.0
0.28900000000000003;0.00030645348262371117;0.0
0.30600000000000005;0.0003046194050383728;0.0
0.323;0.0003027990048805794;0.0
0.34;0.0003009922825197181;0.0
0.35700000000000004;0.0002991992383947079;0.0
0.374;0.00029741987301399957;0.0
0.391;0.00029565418695557793;0.0
0.40800000000000003;0.00029390218086695853;0.0
0.42500000000000004;0.0002921638554651923;0.0
0.44200000000000006;0.00029043921153685967;0.0
0.459;0.00028872824993807656;0.0
0.47600000000000003;0.00028703097159449;0.0
0.49300000000000005;0.00028534737750127994;0.0
0.51;0.00028367746872315944;0.0
0.527;0.00028202124639437287;0.0
0.544;0.00028037871171869946;0.0
0.561;0.0002787498659694497;0.0
0.5780000000000001;0.00027713471048946604;0.0
0.5950000000000001;0.00027553324669112565;0.0
0.6120000000000001;0.00027394547605633703;0.0
0.629;0.000272371400136541;0.0
0.646;0.00027081102055271234;0.0
0.663;0.0002692643389953573;0.0
0.68;0.0002677313572245147;0.0
0.6970000000000001;0.0002662120770697579;0.0
0.7140000000000001;0.00026470650043019074;0.0
0.7310000000000001;0.0002632146292744509;0.0
0.748;0.00026173646564070773;0.0
0.765;0.00026027201163666524;0.0
0.782;0.00025882126943955824;0.0
0.799;0.00025738424129615346;0.0
0.8160000000000001;0.00025599635130479735;0.0
0.8330000000000001;0.0002546255351215053;0.0
0.8500000000000001;0.000253267872485331;0.0
0.8670000000000001;0.0002519233716272278;0.0
0.8840000000000001;0.00025059204091891;0.0
0.901;0.00024927388887285477;0.0
0.918;0.00024796892414230125;0.0
0.935;0.00024667715552124995;0.0
0.9520000000000001;0.0002453985919444629;0.0
0.9690000000000001;0.00024413324248746517;0.0
0.9860000000000001;0.00024288111636654378;0.0
1.0030000000000001;0.00024164222293874752;0.0
1.02;0.00024041657170188635;0.0
1.0370000000000001;0.00023920417229453332;0.0
1.054;0.0002380050344960228;0.0
1.0710000000000002;0.00023681916822645182;0.0
1.088;0.00023564658354667864;0.0
1.105;0.000234487290658324;0.0
1.122;0.00023334129990376984;0.0
1.139;0.00023220862176616153;0.0
1.1560000000000001;0.0002310892668694051;0.0
1.173;0.00022998324597816848;0.0
1.1900000000000002;0.00022889056999788368;0.0
1.207;0.00022781124997474145;0.0
1.2240000000000002;0.00022674529709569696;0.0
1.241;0.0002256927226884665;0.0
1.258;0.0002246535382215287;0.0
1.2750000000000001;0.00022362775530412388;0.0
1.292;0.00022261538568625418;0.0
1.3090000000000002;0.00022161644125868354;0.0
1.326;0.00022063093405293898;0.0
1.3430000000000002;0.00021965887624130834;0.0
1.36;0.00021870028013684209;0.0
1.377;0.0002177551581933521;0.0
1.3940000000000001;0.00021682352300541339;0.0
1.4109999999999998;0.00021590538730836158;0.0
1.4280000000000002;0.00021500076397829482;0.0
1.445;0.00021410966603207303;0.0
1.4620000000000002;0.00021323210662731903;0.0
1.479;0.0002123680990624167;0.0
1.496;0.00021151765677651177;0.0
1.513;0.00021068079334951256;0.0
1.53;0.00020992467932790809;0.0
1.5470000000000002;0.00020926139852040225;0.0
1.564;0.00020859918381843268;0.0
1.5810000000000002;0.00020793803529101803;0.0
1.598;0.00020727795301641986;0.0
1.615;0.00020661893708214156;0.0
1.6320000000000001;0.0002059609875849276;0.0
1.649;0.00020530410463076527;0.0
1.6660000000000001;0.000204766061289764;0.0
1.683;0.00020424499507604215;0.0
1.7000000000000002;0.00020372528307171148;0.0
1.7169999999999999;0.00020320692424749122;0.0
1.7340000000000002;0.00020268991757794845;0.0
1.7510000000000001;0.00020217426204150005;0.0
1.7680000000000002;0.00020165995662041052;0.0
1.7850000000000001;0.0002011470003007939;0.0
1.802;0.0002006353920726131;0.0
1.819;0.00020012513092967988;0.0
1.836;0.00019961621586965387;0.0
1.8530000000000002;0.00019910864589404472;0.0
1.87;0.00019860242000821027;0.0
1.8870000000000002;0.00019809753722135735;0.0
1.9040000000000001;0.00019759399654654128;0.0
1.9209999999999998;0.00019709179700066643;0.0
1.9380000000000002;0.00019659093760448593;0.0
1.955;0.0001960914173826017;0.0
1.9720000000000002;0.0001955932353634646;0.0
1.9890000000000003;0.00019509639057937406;0.0
2.0060000000000002;0.00019460088206647863;0.0
2.023;0.00019410670886477497;0.0
2.04;0.0001936138700181093;0.0
2.057;0.00019312236457417643;0.0
2.0740000000000003;0.00019263219158451993;0.0
2.0909999999999997;0.0001921433501045321;0.0
2.108;0.00019165583919345376;0.0
2.125;0.00019116965791437523;0.0
2.1420000000000003;0.00019068480533423516;0.0
2.1590000000000003;0.00019020128052382127;0.0
2.176;0.00018971908255776952;0.0
2.193;0.0001892382105145651;0.0
2.21;0.00018875866347654234;0.0
2.2270000000000003;0.0001882804405298838;0.0
2.244;0.00018780354076462072;0.0
2.261;0.00018732796327463393;0.0
2.278;0.0001868537071576525;0.0
2.295;0.0001863807715152537;0.0
2.3120000000000003;0.00018590915545286507;0.0
2.329;0.0001854388580797621;0.0
2.346;0.000184969878509069;0.0
2.363;0.00018450221585775858;0.0
2.3800000000000003;0.0001840358692466534;0.0
