Distance [mm];Mag_B (Real) [tesla];Mag_B (Imag) [tesla]
0.0;0.0003378479145696726;0.0
0.017;0.0003359308524042255;0.0
0.034;0.00033402517734211615;0.0
0.051000000000000004;0.00033213088965213737;0.0
0.068;0.00033024798958515556;0.0
0.085;0.00032837647737410944;0.0
0.10200000000000001;0.00032651635323400824;0.0
0.11900000000000001;0.00032466761736193566;0.0
0.136;0.0003228302699370444;0.0
0.15300000000000002;0.00032100431112055977;0.0
0.17;0.00031918974105578195;0.0
0.187;0.00031738655986807954;0.0
0.20400000000000001;0.00031559476766489415;0.0
0.22100000000000003;0.00031381436453574007;0.0
0.23800000000000002;0.0003120453505522039;0.0
0.255;0.0003102877257679432;0.0
0.272;0.000308541490218687;0.0
0.28900000000000003;0.00030680664392223857;0.0
0.30600000000000005;0.00030508318687847135;0.0
0.323;0.00030337111906933033;0.0
0.34;0.00030167044045883355;0.0
0.35700000000000004;0.0002999811509930718;0.0
0.374;0.0002983032506002057;0.0
0.391;0.0002966367391904687;0.0
0.40800000000000003;0.00029498161665616785;0.0
0.42500000000000004;0.00029333788287167986;0.0
0.44200000000000006;0.0002917055376934552;0.0
0.459;0.00029008458096001406;0.0
0.47600000000000003;0.00028847501249195187;0.0
0.49300000000000005;0.00028687683209193245;0.0
0.51;0.0002852900395446943;0.0
0.527;0.0002837146346170483;0.0
0.544;0.00028215061705787306;0.0
0.561;0.00028059798659812475;0.0
0.5780000000000001;0.00027905674295082696;0.0
0.5950000000000001;0.0002775268858110785;0.0
0.6120000000000001;0.0002760084148560478;0.0
0.629;0.00027450132974497684;0.0
0.646;0.0002730056301191787;0.0
0.663;0.0002715213156020396;0.0
0.68;0.00027004838579901616;0.0
0.6970000000000001;0.0002685868402976377;0.0
0.7140000000000001;0.000267136678667506;0.0
0.7310000000000001;0.00026569790046029385;0.0
0.748;0.0002642705052097463;0.0
0.765;0.00026285449243168123;0.0
0.782;0.00026144986162398795;0.0
0.799;0.0002600566122666269;0.0
0.8160000000000001;0.0002586747438216321;0.0
0.8330000000000001;0.00025730425573310817;0.0
0.8500000000000001;0.00025594514742723285;0.0
0.8670000000000001;0.0002545974183122547;0.0
0.8840000000000001;0.00025326106777849453;0.0
0.901;0.0002519360951983457;0.0
0.918;0.0002506224999262739;0.0
0.935;0.0002493202812988158;0.0
0.9520000000000001;0.00024802943863458;0.0
0.9690000000000001;0.00024674997123424786;0.0
0.9860000000000001;0.0002454818783805725;0.0
1.0030000000000001;0.0002442251593383788;0.0
1.02;0.00024297981335456343;0.0
1.0370000000000001;0.00024174583965809508;0.0
1.054;0.0002405232374600149;0.0
1.0710000000000002;0.00023931200595343638;0.0
1.088;0.0002381121443135434;0.0
1.105;0.00023692365169759316;0.0
1.122;0.0002357465272449146;0.0
1.139;0.00023458077007690908;0.0
1.1560000000000001;0.0002334263792970473;0.0
1.173;0.00023228335399087623;0.0
1.1900000000000002;0.00023115169322601167;0.0
1.207;0.00023003139605214218;0.0
1.2240000000000002;0.00022892246150102826;0.0
1.241;0.00022782488858650316;0.0
1.258;0.00022673867630447158;0.0
1.2750000000000001;0.00022566382363290916;0.0
1.292;0.00022460032953186548;0.0
1.3090000000000002;0.00022354819294346086;0.0
1.326;0.00022250741279188785;0.0
1.3430000000000002;0.00022147798798341;0.0
1.36;0.00022045991740636534;0.0
1.377;0.0002194531999311615;0.0
1.3940000000000001;0.00021845783441027923;0.0
1.4109999999999998;0.00021747381967827004;0.0
1.4280000000000002;0.00021650115455175992;0.0
1.445;0.00021553983782944395;0.0
1.4620000000000002;0.00021458986829209117;0.0
1.479;0.00021365124470254198;0.0
1.496;0.00021272402032557135;0.0
1.513;0.00021180888646691345;0.0
1.53;0.0002109054601633803;0.0
1.5470000000000002;0.00021001373977417085;0.0
1.564;0.0002091337236343638;0.0
1.5810000000000002;0.00020826541005491568;0.0
1.598;0.00020740879732266155;0.0
1.615;0.00020656388370031653;0.0
1.6320000000000001;0.00020573066742647303;0.0
1.649;0.00020490914671560302;0.0
1.6660000000000001;0.0002040993197580569;0.0
1.683;0.00020330118472006455;0.0
1.7000000000000002;0.00020251473974373347;0.0
1.7169999999999999;0.00020173998294705124;0.0
1.7340000000000002;0.0002009769124238827;0.0
1.7510000000000001;0.00020022552624397323;0.0
1.7680000000000002;0.00019948582245294508;0.0
1.7850000000000001;0.00019875779907230058;0.0
1.802;0.00019804145409942078;0.0
1.819;0.00019733678550756475;0.0
1.836;0.00019664379124587086;0.0
1.8530000000000002;0.00019596246923935624;0.0
1.87;0.00019529281738891706;0.0
1.8870000000000002;0.0001946348335713271;0.0
1.9040000000000001;0.00019398851563923986;0.0
1.9209999999999998;0.00019335386142118783;0.0
1.9380000000000002;0.00019273086872158185;0.0
1.955;0.00019211953532071122;0.0
1.9720000000000002;0.00019151985897474487;0.0
1.9890000000000003;0.0001909318374157296;0.0
2.0060000000000002;0.00019035546835159147;0.0
2.023;0.00018979074946613486;0.0
2.04;0.00018923767841904368;0.0
2.057;0.0001886962528458803;0.0
2.0740000000000003;0.00018816647035808516;0.0
2.0909999999999997;0.00018764832854297896;0.0
2.108;0.00018714182496375924;0.0
2.125;0.0001866469571595036;0.0
2.1420000000000003;0.0001861637226451686;0.0
2.1590000000000003;0.00018569211891158872;0.0
2.176;0.0001852321434254775;0.0
2.193;0.00018478379362942777;0.0
2.21;0.00018434706694191028;0.0
2.2270000000000003;0.0001839219607572755;0.0
2.244;0.00018350847244575098;0.0
2.261;0.0001831065993534455;0.0
2.278;0.0001827163388023449;0.0
2.295;0.00018233768809031365;0.0
2.3120000000000003;0.0001819706444910961;0.0
2.329;0.00018161520525431467;0.0
2.346;0.0001812713676054705;0.0
2.363;0.00018093912874594375;0.0
2.3800000000000003;0.00018061848585299348;0.0
2.3970000000000002;0.0001803094360797571;0.0
2.414;0.00018001197655525083;0.0
2.431;0.00017972610438436997;0.0
2.4480000000000004;0.0001794518166478887;0.0
2.4650000000000003;0.00017915029559606858;0.0
2.482;0.00017868376371257545;0.0
2.4989999999999997;0.00017821814222247819;0.0
2.516;0.0001777534296435623;0.0
2.5330000000000004;0.00017728962449179185;0.0
2.5500000000000003;0.0001768267252813097;0.0
2.567;0.00017636473052443801;0.0
2.584;0.00017590363873167675;0.0
2.601;0.00017544344841170513;0.0
2.6180000000000003;0.00017498415807138065;0.0
2.6350000000000002;0.00017452576621574068;0.0
2.652;0.0001740682713479992;0.0
2.669;0.00017361167196955118;0.0
2.6860000000000004;0.00017315753140059885;0.0
2.703;0.00017270555672803557;0.0
2.72;0.00017225299836375082;0.0
2.737;0.00017179985673435616;0.0
2.754;0.00017134613229770427;0.0
2.7710000000000004;0.0001708918255428872;0.0
2.7880000000000003;0.00017043693699023903;0.0
2.805;0.00016998146719133289;0.0
2.8219999999999996;0.0001695254167289835;0.0
2.8390000000000004;0.00016906878621724542;0.0
2.8560000000000003;0.0001686115763014141;0.0
