Distance [mm];Mag_B (Real) [tesla];Mag_B (Imag) [tesla]
0.0;0.00032748503745731364;0.0
0.017;0.00032596324283985784;0.0
0.034;0.00032444620720268046;0.0
0.051000000000000004;0.000322933931083301;0.0
0.068;0.000321426415170447;0.0
0.085;0.0003199236603040535;0.0
0.10200000000000001;0.00031842566747526354;0.0
0.11900000000000001;0.0003169324378264291;0.0
0.136;0.00031544397265110814;0.0
0.15300000000000002;0.0003139602733940686;0.0
0.17;0.0003124813416512867;0.0
0.187;0.0003110071791699443;0.0
0.20400000000000001;0.00030953778784843284;0.0
0.22100000000000003;0.00030807316973635135;0.0
0.23800000000000002;0.00030661332703450734;0.0
0.255;0.00030515826209491585;0.0
0.272;0.0003037079774207992;0.0
0.28900000000000003;0.0003022624756665897;0.0
0.30600000000000005;0.00030082175963792613;0.0
0.323;0.0002993858322916547;0.0
0.34;0.00029795469673583175;0.0
0.35700000000000004;0.0002965283562297188;0.0
0.374;0.00029510681418378745;0.0
0.391;0.00029369007415971774;0.0
0.40800000000000003;0.0002922781398703949;0.0
0.42500000000000004;0.00029087101517991494;0.0
0.44200000000000006;0.00028946870410358005;0.0
0.459;0.00028807121080790205;0.0
0.47600000000000003;0.0002866785396105997;0.0
0.49300000000000005;0.00028529069498059857;0.0
0.51;0.00028390768153803534;0.0
0.527;0.00028252950405425163;0.0
0.544;0.0002811561674517989;0.0
0.561;0.00027978767680443545;0.0
0.5780000000000001;0.00027842403733712844;0.0
0.5950000000000001;0.0002770652544260526;0.0
0.6120000000000001;0.00027571133359858993;0.0
0.629;0.00027436228053333284;0.0
0.646;0.0002730181010600783;0.0
0.663;0.00027167880115983446;0.0
0.68;0.00027034438696481474;0.0
0.6970000000000001;0.0002690148647584424;0.0
0.7140000000000001;0.00026769024097534884;0.0
0.7310000000000001;0.0002663705222013712;0.0
0.748;0.000265055715173557;0.0
0.765;0.0002637458267801608;0.0
0.782;0.00026244086406064515;0.0
0.799;0.0002611408342056801;0.0
0.8160000000000001;0.00025984574455714524;0.0
0.8330000000000001;0.0002585556026081259;0.0
0.8500000000000001;0.00025727041600291775;0.0
0.8670000000000001;0.0002559901925370223;0.0
0.8840000000000001;0.0002547149401571509;0.0
0.901;0.00025344466696122103;0.0
0.918;0.00025217938119836;0.0
0.935;0.00025091909126890227;0.0
0.9520000000000001;0.0002496638057243897;0.0
0.9690000000000001;0.00024841353326757296;0.0
0.9860000000000001;0.0002471682827524102;0.0
1.0030000000000001;0.00024592806318406835;0.0
1.02;0.0002446928837189212;0.0
1.0370000000000001;0.00024346275366455119;0.0
1.054;0.0002422376824797488;0.0
1.0710000000000002;0.0002410176797745118;0.0
1.088;0.00023980275531004772;0.0
1.105;0.00023859291899876975;0.0
1.122;0.00023738818090430027;0.0
1.139;0.00023618855124146995;0.0
1.1560000000000001;0.00023499404037631628;0.0
1.173;0.0002338046588260859;0.0
1.1900000000000002;0.0002326204172592333;0.0
1.207;0.0002314413264954202;0.0
1.2240000000000002;0.00023026739750551666;0.0
1.241;0.00022909864141160133;0.0
1.258;0.00022793506948695955;0.0
1.2750000000000001;0.0002267766931560862;0.0
1.292;0.00022562352399468292;0.0
1.3090000000000002;0.00022447557372965997;0.0
1.326;0.00022333285423913515;0.0
1.3430000000000002;0.00022219537755243434;0.0
1.36;0.00022106315585009227;0.0
1.377;0.00021993620146385054;0.0
1.3940000000000001;0.0002188145268766589;0.0
1.4109999999999998;0.00021769814472267552;0.0
1.4280000000000002;0.0002165870677872661;0.0
1.445;0.00021548130900700513;0.0
1.4620000000000002;0.00021438088146967375;0.0
1.479;0.00021328579841426264;0.0
1.496;0.00021219607323096917;0.0
1.513;0.00021111171946119916;0.0
1.53;0.00021003275079756664;0.0
1.5470000000000002;0.00020895918108389345;0.0
1.564;0.00020789102431520925;0.0
1.5810000000000002;0.00020682829463775207;0.0
1.598;0.00020577100634896773;0.0
1.615;0.00020471917389750972;0.0
1.6320000000000001;0.0002036728118832395;0.0
1.649;0.00020263193505722736;0.0
1.6660000000000001;0.000201652691188602;0.0
1.683;0.00020102442320676285;0.0
1.7000000000000002;0.00020039617019830362;0.0
1.7169999999999999;0.00019976793392906107;0.0
1.7340000000000002;0.0001991397161834677;0.0
1.7510000000000001;0.0001985115187645501;0.0
1.7680000000000002;0.00019788334349392898;0.0
1.7850000000000001;0.00019725519221181894;0.0
1.802;0.00019662706677702998;0.0
1.819;0.0001959989690669657;0.0
1.836;0.000195370900977625;0.0
1.8530000000000002;0.00019474286442360016;0.0
1.87;0.0001941148613380779;0.0
1.8870000000000002;0.00019348689367284036;0.0
1.9040000000000001;0.00019285896339826312;0.0
1.9209999999999998;0.00019223107250331583;0.0
1.9380000000000002;0.00019160322299556403;0.0
1.955;0.00019097541690116593;0.0
1.9720000000000002;0.00019034765626487526;0.0
1.9890000000000003;0.0001897199431500395;0.0
2.0060000000000002;0.0001890922796386012;0.0
2.023;0.00018846466783109644;0.0
2.04;0.00018783710984665645;0.0
2.057;0.00018720960782300596;0.0
2.0740000000000003;0.00018658216391646558;0.0
2.0909999999999997;0.0001859547803019486;0.0
2.108;0.0001853274591729635;0.0
2.125;0.0001847002027416132;0.0
2.1420000000000003;0.00018407301323859494;0.0
2.1590000000000003;0.0001834458929132008;0.0
2.176;0.00018281884403331563;0.0
2.193;0.0001821918688854202;0.0
2.21;0.00018156496977458984;0.0
2.2270000000000003;0.00018093814902449303;0.0
2.244;0.0001803114089773933;0.0
2.261;0.00017968475199414905;0.0
2.278;0.00017905818045421175;0.0
2.295;0.00017843169675562834;0.0
2.3120000000000003;0.00017780530331504014;0.0
2.329;0.0001771790025676825;0.0
2.346;0.00017663418923048296;0.0
2.363;0.00017618788234599812;0.0
2.3800000000000003;0.00017574406833166195;0.0
2.3970000000000002;0.00017530274458181332;0.0
2.414;0.00017486390848806235;0.0
2.431;0.00017442755743929115;0.0
2.4480000000000004;0.0001739936888216523;0.0
2.4650000000000003;0.00017356230001857055;0.0
2.482;0.0001731333884107414;0.0
2.4989999999999997;0.00017270695137613202;0.0
2.516;0.0001722829862899808;0.0
2.5330000000000004;0.00017186149052479758;0.0
2.5500000000000003;0.00017144246145036344;0.0
2.567;0.00017102589643373106;0.0
2.584;0.0001706117928392234;0.0
2.601;0.00017020014802843642;0.0
2.6180000000000003;0.00016979095936023656;0.0
2.6350000000000002;0.00016938422419076113;0.0
2.652;0.00016897993987341977;0.0
2.669;0.00016857810375889258;0.0
2.6860000000000004;0.00016817871319513164;0.0
2.703;0.00016778176552736018;0.0
2.72;0.00016738725809807252;0.0
2.737;0.00016699518824703474;0.0
2.754;0.00016660555331128398;0.0
2.7710000000000004;0.00016621835062512893;0.0
2.7880000000000003;0.00016583357752014937;0.0
2.805;0.00016545123132519622;0.0
2.8219999999999996;0.0001650713093663927;0.0
2.8390000000000004;0.00016469380896713248;0.0
2.8560000000000003;0.00016431872744808066;0.0
2.873;0.00016394606212717384;0.0
2.89;0.00016357581031962022;0.0
2.9069999999999996;0.00016320796933789937;0.0
2.9240000000000004;0.00016284253649176102;0.0
2.9410000000000003;0.00016247950908822843;0.0
2.958;0.00016211888443159355;0.0
2.975;0.00016176065982342227;0.0
2.992;0.00016140483256255013;0.0
3.0090000000000003;0.00016105139994508386;0.0
3.026;0.0001607003592644033;0.0
3.043;0.00016035170781115792;0.0
3.06;0.00016000544287326902;0.0
3.0770000000000004;0.00015965624474756742;0.0
3.0940000000000003;0.00015926145612378095;0.0
3.1109999999999998;0.00015886617978130713;0.0
3.128;0.0001584704147691669;0.0
3.145;0.0001580741601825537;0.0
3.1620000000000004;0.00015767741516283342;0.0
3.1790000000000003;0.0001572801788975437;0.0
3.196;0.00015688245062039382;0.0
3.213;0.0001564842296112662;0.0
3.23;0.00015608551519621485;0.0
3.2470000000000003;0.00015568630674746612;0.0
3.2640000000000002;0.00015528660368341842;0.0
3.281;0.00015488640546864222;0.0
3.298;0.00015448571161388018;0.0
3.3150000000000004;0.00015408452167604736;0.0
3.3320000000000003;0.00015368283525823054;0.0
3.349;0.0001532806520096894;0.0
3.366;0.00015287797162585456;0.0
3.3830000000000005;0.00015247479384832992;0.0
3.4000000000000004;0.00015204868579583728;0.0
3.4170000000000003;0.00015161933782774982;0.0
3.4339999999999997;0.00015118886071184873;0.0
3.451;0.00015075725425924927;0.0
3.4680000000000004;0.00015032451836035667;0.0
3.4850000000000003;0.00014989065298486813;0.0
3.5020000000000002;0.0001494556581817709;0.0
3.519;0.00014901953407934416;0.0
3.5360000000000005;0.00014858228088515676;0.0
3.553;0.00014814389888607028;0.0
3.5700000000000003;0.00014770438844823546;0.0
3.587;0.00014726375001709532;0.0
3.604;0.00014682198411738323;0.0
3.6210000000000004;0.00014637909135312404;0.0
3.638;0.00014593507240763266;0.0
3.6550000000000002;0.00014548992804351576;0.0
3.672;0.00014504365910267085;0.0
3.689;0.00014459626650628604;0.0
3.7060000000000004;0.00014414775125484107;0.0
3.7230000000000003;0.0001436981144281059;0.0
3.74;0.0001432473571851419;0.0
3.7569999999999997;0.00014279548076430126;0.0
3.7740000000000005;0.00014234248648322724;0.0
3.7910000000000004;0.00014188837573885424;0.0
3.8080000000000003;0.00014143315000740735;0.0
3.825;0.00014097681084440216;0.0
3.8419999999999996;0.00014051935988464672;0.0
3.8590000000000004;0.0001400607988422383;0.0
3.8760000000000003;0.00013960112951056625;0.0
3.8930000000000002;0.00013914035376231065;0.0
3.91;0.0001386784735494424;0.0
3.927000000000001;0.00013821549090322336;0.0
3.9440000000000004;0.0001377514079342065;0.0
3.961;0.0001372862268322358;0.0
3.9780000000000006;0.00013681994986644604;0.0
3.995;0.00013635257938526295;0.0
4.0120000000000005;0.0001358841178164034;0.0
4.029;0.00013541456766687544;0.0
4.046;0.00013494393152297727;0.0
4.063000000000001;0.0001344722120502992;0.0
4.08;0.00013399941199372116;0.0
4.097;0.00013352553417741547;0.0
4.114;0.00013305058150484458;0.0
4.131;0.00013257455695876204;0.0
4.148000000000001;0.00013209746360121207;0.0
4.165;0.00013161930457353076;0.0
4.1819999999999995;0.00013114008309634433;0.0
4.199000000000001;0.00013065980246957021;0.0
4.216;0.00013017846607241653;0.0
4.2330000000000005;0.00012969607736338339;0.0
4.25;0.00012921263988026083;0.0
4.2669999999999995;0.00012872815724013014;0.0
4.284000000000001;0.0001282426331393637;0.0
4.301;0.00012775607135362462;0.0
4.3180000000000005;0.00012726847573786755;0.0
4.335;0.00012677985022633724;0.0
4.352;0.00012629019883257002;0.0
4.369000000000001;0.00012579952564939338;0.0
4.386;0.00012546794143726344;0.0
4.4030000000000005;0.00012524872544225594;0.0
4.42;0.00012502951412852456;0.0
4.437;0.0001248103071447266;0.0
4.454000000000001;0.00012459110414025551;0.0
4.471;0.0001243719047652399;0.0
4.488;0.00012415270867054522;0.0
4.505;0.00012393351550777198;0.0
4.522;0.00012371432492925725;0.0
4.539000000000001;0.00012349513658807372;0.0
4.556;0.00012327595013802926;0.0
4.573;0.00012305676523366904;0.0
4.59;0.00012283758153027304;0.0
4.607;0.00012261839868385707;0.0
4.6240000000000006;0.0001223992163511738;0.0
4.641;0.0001221800341897107;0.0
4.658;0.00012196085185769193;0.0
4.675;0.00012174166901407721;0.0
4.692;0.0001215224853185618;0.0
4.7090000000000005;0.00012130330043157732;0.0
4.726;0.00012108411401429102;0.0
4.743;0.00012086492572860643;0.0
4.760000000000001;0.00012064573523716224;0.0
4.777;0.00012042654220333377;0.0
4.7940000000000005;0.00012020734629123219;0.0
4.811;0.00011998814716570347;0.0
4.828;0.0001197689444923309;0.0
4.845000000000001;0.0001195497379374328;0.0
4.862;0.00011933052716806363;0.0
4.8790000000000004;0.0001191113118520137;0.0
4.896000000000001;0.00011889209165780943;0.0
4.912999999999999;0.00011867286625471244;0.0
4.930000000000001;0.00011845363531272091;0.0
4.947;0.00011823439850256862;0.0
4.964;0.00011801515549572548;0.0
4.981000000000001;0.00011779590596439711;0.0
4.997999999999999;0.00011757664958152453;0.0
5.015000000000001;0.00011735738602078587;0.0
5.032;0.00011713811495659355;0.0
5.049;0.00011691883606409746;0.0
5.066000000000001;0.00011669954901918226;0.0
5.082999999999999;0.00011648025349846882;0.0
5.1000000000000005;0.00011626094917931397;0.0
5.117;0.00011604163573981062;0.0
5.134;0.0001158223128587871;0.0
5.151000000000001;0.00011560298021580786;0.0
5.168;0.00011538363749117331;0.0
5.1850000000000005;0.00011516428436591968;0.0
5.202;0.00011494492052181894;0.0
5.219;0.00011472554564137912;0.0
5.236000000000001;0.00011450615940784443;0.0
5.253;0.00011428676150519394;0.0
